model_name,model_type,threshold_applied,balanced_accuracy,precision_false,recall_false,f1_false,auc
log,classic,False,0.6,0.37142857142857144,0.5,0.4262295081967213,0.6271853146853147
log,classic,True,0.5784382284382285,0.3047619047619048,0.8205128205128205,0.4444444444444444,0.6271853146853147
rf,classic,False,0.554020979020979,0.4,0.23076923076923078,0.2926829268292683,0.6375000000000001
rf,classic,True,0.5178904428904428,0.27074235807860264,0.7948717948717948,0.40390879478827363,0.6375000000000001
svc,classic,False,0.5952214452214453,0.38636363636363635,0.4358974358974359,0.40963855421686746,0.631497668997669
svc,classic,True,0.3795454545454545,0.19306930693069307,0.5,0.2785714285714286,0.631497668997669
xgb,classic,False,0.5761655011655011,0.4032258064516129,0.32051282051282054,0.35714285714285715,0.6177738927738928
xgb,classic,True,0.494988344988345,0.2595419847328244,0.8717948717948718,0.4,0.6177738927738928
bert,transformer,False,0.5803030303030303,0.40625,0.3333333333333333,0.36619718309859156,0.5968240093240094
bert,transformer,True,0.5681235431235431,0.36363636363636365,0.358974358974359,0.36129032258064514,0.5968240093240094
distilbert,transformer,False,0.6012820512820513,0.34814814814814815,0.6025641025641025,0.4413145539906103,0.6561480186480185
distilbert,transformer,True,0.5931235431235431,0.3116279069767442,0.8589743589743589,0.45733788395904434,0.6561480186480185
electra,transformer,False,0.6028554778554778,0.4155844155844156,0.41025641025641024,0.4129032258064516,0.6304778554778555
electra,transformer,True,0.6111305361305361,0.41975308641975306,0.4358974358974359,0.4276729559748428,0.6304778554778555
modernbert,transformer,False,0.5705710955710956,0.41509433962264153,0.28205128205128205,0.33587786259541985,0.6212703962703963
modernbert,transformer,True,0.556934731934732,0.3728813559322034,0.28205128205128205,0.32116788321167883,0.6212703962703963
